IP_Module,LUT_Used,FF_Used,WNS_ns,Max_Logic_Level
soc_design_i,30346,51671,N/A,0
soc_design_i/aes_dec_axi_wrapper_0,4188,285,N/A,0
soc_design_i/aes_enc_axi_wrapper_0,3592,343,N/A,0
soc_design_i/axi_interconnect_0,557,633,N/A,0
soc_design_i/axis_dwidth_converter_0,14,169,N/A,0
soc_design_i/npu_axi_wrapper_0,16612,46970,N/A,0
soc_design_i/proc_sys_reset_0,17,33,N/A,0
soc_design_i/processing_system7_0,0,0,N/A,0
soc_design_i/smartconnect_0,715,671,N/A,0
soc_design_i/smartconnect_1,813,763,N/A,0
soc_design_i/smartconnect_2,888,937,N/A,0
soc_design_i/top_dma_full_to_stre_0,571,280,N/A,0
soc_design_i/top_dma_full_to_stre_1,1186,289,N/A,0
soc_design_i/top_dma_stream_to_fu_0,1198,298,N/A,0
soc_design_i/xlconcat_0,0,0,N/A,0
soc_design_i/xlslice_0,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst,4188,285,-24.563,51
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core,4184,149,3.420,6
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[0].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[10].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[11].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[12].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[13].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[14].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[15].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[1].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[2].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[3].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[4].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[5].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[6].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[7].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[8].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/inv_sbox_gen[9].u_inv_sbox_inst,0,0,N/A,0
soc_design_i/aes_dec_axi_wrapper_0/inst/u_aes_inv_core/u_key_ext,68,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst,3592,343,-23.893,49
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core,3589,180,6.465,4
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[0].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[10].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[11].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[12].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[13].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[14].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[15].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[1].u_sbox_inst,0,0,N/A,0
soc_design_i/aes_enc_axi_wrapper_0/inst/u_aes_core/sbox_gen[2].u_sbox_inst,0,0,N/A,0
